primary_key,split,group_index,match_key,state_count,tail_count,log_tau_min,log_tau_max,log_tau_spread,low_mean_collapse_fraction,high_mean_collapse_fraction,low_minus_high
path_b05,validation,52,"('24', '68', '2', '0', '3', '5', 2.5)",8,2,33.08295936155749,34.009137757351574,0.9261783957940821,0.03125,0.0234375,0.0078125
path_b05,validation,62,"('24', '72', '2', '0', '3', '5', 2.5)",6,2,34.531159451964385,35.03787187868713,0.5067124267227427,0.0234375,0.0234375,0.0
path_b05,validation,64,"('24', '72', '2', '0', '4', '5', 2.5)",6,2,35.01903741082953,35.52871590519277,0.5096784943632358,0.0234375,0.03125,-0.0078125
path_b05,validation,65,"('24', '72', '3', '0', '3', '4', 2.0)",7,2,34.93006015266831,35.47070738426403,0.5406472315957203,0.0,0.0,0.0
path_b05,validation,70,"('32', '57', '1', '1', '1', '6', 3.0)",7,2,28.55849366432069,29.390953541945013,0.8324598776243235,0.28125,0.2421875,0.0390625
path_b05,validation,81,"('32', '57', '2', '0', '2', '7', 3.0)",5,1,28.66941703746352,29.822350272719312,1.1529332352557908,0.15625,0.078125,0.078125
path_b05,validation,85,"('32', '60', '1', '1', '1', '7', 3.0)",4,1,30.136477096975607,31.401778279060245,1.265301182084638,0.25,0.25,0.0
path_b05,validation,91,"('32', '60', '2', '0', '2', '6', 3.0)",10,3,30.346688205441147,32.08187025478056,1.7351820493394143,0.16666666666666666,0.09895833333333333,0.06770833333333333
path_b05,validation,92,"('32', '60', '2', '0', '2', '7', 3.0)",7,2,29.569031013167738,31.795381467521462,2.2263504543537245,0.2265625,0.1015625,0.125
path_b05,validation,95,"('32', '64', '2', '0', '2', '6', 3.0)",12,4,31.95963705579409,33.66880702886958,1.7091699730754897,0.19140625,0.1171875,0.07421875
path_b05,validation,96,"('32', '64', '2', '0', '2', '7', 3.0)",5,1,32.12230764141798,33.44812837016984,1.3258207287518573,0.34375,0.15625,0.1875
