graph_family,attack_type,turn,mean_giant_fraction,mean_efficiency_fraction,mean_cumulative_loss,mean_repair_cost_to_target,threshold_crossed_rate,irreversible_rate
scale_free,random_failure,53,1.0,0.9118233587035292,0.0923164012481723,0.0,0.0,0.0
scale_free,random_failure,54,1.0,0.9093969886409212,0.09498373114964775,0.0,0.0,0.0
scale_free,random_failure,55,1.0,0.9071854791438234,0.09742167669553513,0.0,0.0,0.0
scale_free,random_failure,56,1.0,0.9054085904233323,0.09938339405095752,0.0,0.0,0.0
scale_free,random_failure,57,1.0,0.9033353092703256,0.10167714001360102,0.0,0.0,0.0
scale_free,random_failure,58,1.0,0.901219454796986,0.10402510681936052,0.0,0.0,0.0
scale_free,random_failure,59,1.0,0.899268224049644,0.10619095376014025,0.0,0.0,0.0
scale_free,random_failure,60,1.0,0.8973974297678798,0.10827566844029525,0.0,0.0,0.0
scale_free,random_failure,61,1.0,0.895182770175749,0.11074825416625807,0.0,0.0,0.0
scale_free,random_failure,62,1.0,0.8927001628360979,0.11352776168755153,0.0,0.0,0.0
scale_free,random_failure,63,1.0,0.8906721396898479,0.11580710581229897,0.0,0.0,0.0
scale_free,random_failure,64,1.0,0.8883024663178768,0.11847201695037125,0.0,0.0,0.0
scale_free,random_failure,65,1.0,0.8867686054555332,0.12020038889650823,0.0,0.0,0.0
scale_free,random_failure,66,1.0,0.8846461295877197,0.12259505445131219,0.0,0.0,0.0
scale_free,random_failure,67,1.0,0.8825254876291422,0.12499528720142582,0.0,0.0,0.0
scale_free,random_failure,68,1.0,0.880178885177841,0.12765860511909802,0.0,0.0,0.0
scale_free,random_failure,69,1.0,0.878371783539411,0.12971864466804653,0.0,0.0,0.0
scale_free,random_failure,70,1.0,0.8762660322089483,0.13211338408603665,0.0,0.0,0.0
scale_free,random_failure,71,1.0,0.8740997128406046,0.1345893797281109,0.0,0.0,0.0
scale_free,random_failure,72,1.0,0.8715333811101692,0.13753268204478217,0.0,0.0,0.0
scale_free,random_failure,73,1.0,0.8696738987358694,0.1396681575454692,0.0,0.0,0.0
scale_free,random_failure,74,1.0,0.8671427082613082,0.1425874649316571,0.0,0.0,0.0
scale_free,random_failure,75,1.0,0.8641833751079412,0.14601555371790123,0.0,0.0,0.0
scale_free,random_failure,76,1.0,0.8625461880405854,0.1479132018962597,0.0,0.0,0.0
scale_free,random_failure,77,1.0,0.8601240868081592,0.15072488465321288,0.0,0.0,0.0
scale_free,random_failure,78,1.0,0.8577708519894426,0.1534645720556752,0.0,0.0,0.0
scale_free,random_failure,79,1.0,0.8557168623167049,0.1558639781138502,0.0,0.0,0.0
scale_free,random_failure,80,1.0,0.8533571439769475,0.15862500897837054,0.0,0.0,0.0
scale_free,random_failure,81,1.0,0.8509022781710073,0.16150506616512975,0.0,0.0,0.0
scale_free,random_failure,82,1.0,0.8488034216044261,0.16397082210512975,0.0,0.0,0.0
scale_free,random_failure,83,1.0,0.8467771795563391,0.1663589774316822,0.0,0.0,0.0
scale_free,random_failure,84,1.0,0.8444754046047899,0.16907994723546793,0.0,0.0,0.0
scale_free,random_failure,85,1.0,0.8421133610835726,0.17188130509125468,0.0,0.0,0.0
scale_free,random_failure,86,1.0,0.8395160322862072,0.17496833829775418,0.0,0.0,0.0
scale_free,random_failure,87,1.0,0.8371852367490943,0.17774761627452518,0.0,0.0,0.0
scale_free,random_failure,88,1.0,0.8343167712290191,0.1811773545094566,0.0,0.0,0.0
scale_free,random_failure,89,1.0,0.8319037181823875,0.18407437513982897,0.0,0.0,0.0
scale_free,random_failure,90,1.0,0.8297062593495838,0.18671793887747276,0.0,0.0,0.0
scale_free,random_failure,91,1.0,0.8275950307906778,0.18926575594362774,0.0,0.0,0.0
scale_free,random_failure,92,1.0,0.8250687856649987,0.19232616380345716,0.0,0.0,0.0
scale_free,random_failure,93,1.0,0.8227646222280725,0.19512262024764393,0.0,0.0,0.0
