row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_014_q01,code_n24_k12_cw3_014,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,6.0,2.0,9.0,3.0,0.0,3.0,3.0,5,108,1118,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.288,1.4929919999999997,3.7092556799999996,5.4902476799999995,1.8703006933159945
code_n24_k12_cw3_014_q02,code_n24_k12_cw3_014,q02,test,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,6.0,2.0,9.0,3.0,0.0,3.0,3.0,5,108,1118,12926,exact,2,0.09,0.026999999999999996,0.0081,0.44999999999999996,2.9159999999999995,9.0558,12.4218,2.5968802507160724
code_n24_k12_cw3_014_q03,code_n24_k12_cw3_014,q03,test,0.36,24,12,12,0.5,0.14,3,0.25,6.0,6.0,2.0,9.0,3.0,0.0,3.0,3.0,5,108,1118,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.6479999999999999,5.038848,18.778106879999996,24.464954879999993,3.237303188491291
code_n24_k12_cw3_015_q00,code_n24_k12_cw3_015,q00,validation,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.666666666666667,3.0,9.0,3.0,0.0,3.0,3.0,1,22,234,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.24564383999999997,0.40634784,0.34099615966146857
code_n24_k12_cw3_015_q01,code_n24_k12_cw3_015,q01,validation,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.666666666666667,3.0,9.0,3.0,0.0,3.0,3.0,1,22,234,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.7763558399999999,1.1380838399999997,0.7599100260528922
code_n24_k12_cw3_015_q02,code_n24_k12_cw3_015,q02,validation,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.666666666666667,3.0,9.0,3.0,0.0,3.0,3.0,1,22,234,12926,exact,2,0.09,0.026999999999999996,0.0081,0.09,0.5939999999999999,1.8954,2.5793999999999997,1.2751951886011708
code_n24_k12_cw3_015_q03,code_n24_k12_cw3_015,q03,validation,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.666666666666667,3.0,9.0,3.0,0.0,3.0,3.0,1,22,234,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.1296,1.026432,3.9303014399999996,5.08633344,1.8060458380120898
code_n24_k12_cw3_016_q00,code_n24_k12_cw3_016,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0648,0.256608,0.4944369599999999,0.81584496,0.5965509020851566
code_n24_k12_cw3_016_q01,code_n24_k12_cw3_016,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.1152,0.6082559999999999,1.5626649599999998,2.28612096,1.1897078296496906
code_n24_k12_cw3_016_q02,code_n24_k12_cw3_016,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.09,0.026999999999999996,0.0081,0.18,1.1879999999999997,3.8150999999999997,5.1831,1.8218197638242628
code_n24_k12_cw3_016_q03,code_n24_k12_cw3_016,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.166666666666667,3.0,10.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.2592,2.052864,7.910991359999999,10.223055359999998,2.4179701767493875
code_n24_k12_cw3_017_q00,code_n24_k12_cw3_017,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.5,2.0,9.0,3.0,0.0,3.0,3.0,1,22,237,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.24879311999999995,0.40949711999999994,0.34323298829218457
code_n24_k12_cw3_017_q01,code_n24_k12_cw3_017,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.5,2.0,9.0,3.0,0.0,3.0,3.0,1,22,237,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.7863091199999999,1.1480371199999997,0.7645544576891063
code_n24_k12_cw3_017_q02,code_n24_k12_cw3_017,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.5,2.0,9.0,3.0,0.0,3.0,3.0,1,22,237,12926,exact,2,0.09,0.026999999999999996,0.0081,0.09,0.5939999999999999,1.9197,2.6037,1.2819610954378728
code_n24_k12_cw3_017_q03,code_n24_k12_cw3_017,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.5,2.0,9.0,3.0,0.0,3.0,3.0,1,22,237,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.1296,1.026432,3.980689919999999,5.136721919999999,1.814290710338624
code_n24_k12_cw3_018_q00,code_n24_k12_cw3_018,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,3.8333333333333335,3.0,10.0,3.0,0.0,3.0,3.0,0,0,5,12926,exact,4,0.0324,0.0058319999999999995,0.0010497599999999998,0.0,0.0,0.0052488,0.0052488,0.005235073061631587
code_n24_k12_cw3_018_q01,code_n24_k12_cw3_018,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,3.8333333333333335,3.0,10.0,3.0,0.0,3.0,3.0,0,0,5,12926,exact,4,0.0576,0.013823999999999998,0.0033177599999999995,0.0,0.0,0.016588799999999997,0.016588799999999997,0.01645270885409976
