row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n24_k12_cw3_027_q02,code_n24_k12_cw3_027,q02,train,0.3,128,66,0.515625,43,0.3359375,2.6171875,0.375
code_n24_k12_cw3_027_q03,code_n24_k12_cw3_027,q03,train,0.36,128,83,0.6484375,53,0.4140625,4.1875,0.5546875
code_n24_k12_cw3_028_q00,code_n24_k12_cw3_028,q00,test,0.18,128,8,0.0625,3,0.0234375,0.21875,0.0234375
code_n24_k12_cw3_028_q01,code_n24_k12_cw3_028,q01,test,0.24,128,22,0.171875,14,0.109375,0.7890625,0.109375
code_n24_k12_cw3_028_q02,code_n24_k12_cw3_028,q02,test,0.3,128,53,0.4140625,32,0.25,2.265625,0.296875
code_n24_k12_cw3_028_q03,code_n24_k12_cw3_028,q03,test,0.36,128,67,0.5234375,34,0.265625,3.3671875,0.2890625
code_n24_k12_cw3_029_q00,code_n24_k12_cw3_029,q00,test,0.18,128,16,0.125,13,0.1015625,0.3515625,0.1015625
code_n24_k12_cw3_029_q01,code_n24_k12_cw3_029,q01,test,0.24,128,28,0.21875,19,0.1484375,0.984375,0.1953125
code_n24_k12_cw3_029_q02,code_n24_k12_cw3_029,q02,test,0.3,128,53,0.4140625,40,0.3125,2.21875,0.34375
code_n24_k12_cw3_029_q03,code_n24_k12_cw3_029,q03,test,0.36,128,73,0.5703125,53,0.4140625,3.8359375,0.5625
code_n24_k12_cw3_030_q00,code_n24_k12_cw3_030,q00,train,0.18,128,8,0.0625,4,0.03125,0.3125,0.03125
code_n24_k12_cw3_030_q01,code_n24_k12_cw3_030,q01,train,0.24,128,16,0.125,11,0.0859375,0.71875,0.1015625
code_n24_k12_cw3_030_q02,code_n24_k12_cw3_030,q02,train,0.3,128,40,0.3125,29,0.2265625,1.8203125,0.2578125
code_n24_k12_cw3_030_q03,code_n24_k12_cw3_030,q03,train,0.36,128,70,0.546875,49,0.3828125,4.0078125,0.4921875
code_n24_k12_cw3_031_q00,code_n24_k12_cw3_031,q00,train,0.18,128,18,0.140625,15,0.1171875,0.453125,0.125
code_n24_k12_cw3_031_q01,code_n24_k12_cw3_031,q01,train,0.24,128,34,0.265625,26,0.203125,0.9375,0.21875
code_n24_k12_cw3_031_q02,code_n24_k12_cw3_031,q02,train,0.3,128,64,0.5,54,0.421875,2.3671875,0.484375
code_n24_k12_cw3_031_q03,code_n24_k12_cw3_031,q03,train,0.36,128,82,0.640625,71,0.5546875,4.1171875,0.828125
code_n24_k12_cw3_032_q00,code_n24_k12_cw3_032,q00,validation,0.18,128,13,0.1015625,9,0.0703125,0.3671875,0.0703125
code_n24_k12_cw3_032_q01,code_n24_k12_cw3_032,q01,validation,0.24,128,16,0.125,10,0.078125,0.578125,0.078125
code_n24_k12_cw3_032_q02,code_n24_k12_cw3_032,q02,validation,0.3,128,51,0.3984375,28,0.21875,2.203125,0.2265625
code_n24_k12_cw3_032_q03,code_n24_k12_cw3_032,q03,validation,0.36,128,64,0.5,30,0.234375,3.625,0.296875
code_n24_k12_cw3_033_q00,code_n24_k12_cw3_033,q00,test,0.18,128,8,0.0625,4,0.03125,0.2421875,0.03125
code_n24_k12_cw3_033_q01,code_n24_k12_cw3_033,q01,test,0.24,128,31,0.2421875,16,0.125,1.1875,0.140625
code_n24_k12_cw3_033_q02,code_n24_k12_cw3_033,q02,test,0.3,128,43,0.3359375,23,0.1796875,2.234375,0.2109375
code_n24_k12_cw3_033_q03,code_n24_k12_cw3_033,q03,test,0.36,128,69,0.5390625,48,0.375,4.015625,0.46875
code_n24_k12_cw3_034_q00,code_n24_k12_cw3_034,q00,train,0.18,128,9,0.0703125,9,0.0703125,0.34375,0.078125
code_n24_k12_cw3_034_q01,code_n24_k12_cw3_034,q01,train,0.24,128,26,0.203125,12,0.09375,1.03125,0.09375
code_n24_k12_cw3_034_q02,code_n24_k12_cw3_034,q02,train,0.3,128,50,0.390625,24,0.1875,2.3203125,0.2421875
code_n24_k12_cw3_034_q03,code_n24_k12_cw3_034,q03,train,0.36,128,81,0.6328125,49,0.3828125,4.609375,0.5703125
code_n24_k12_cw3_035_q00,code_n24_k12_cw3_035,q00,train,0.18,128,8,0.0625,4,0.03125,0.3515625,0.03125
code_n24_k12_cw3_035_q01,code_n24_k12_cw3_035,q01,train,0.24,128,18,0.140625,3,0.0234375,0.765625,0.0234375
code_n24_k12_cw3_035_q02,code_n24_k12_cw3_035,q02,train,0.3,128,41,0.3203125,16,0.125,2.0234375,0.140625
code_n24_k12_cw3_035_q03,code_n24_k12_cw3_035,q03,train,0.36,128,61,0.4765625,31,0.2421875,3.734375,0.3203125
code_n24_k12_cw3_036_q00,code_n24_k12_cw3_036,q00,validation,0.18,128,12,0.09375,10,0.078125,0.2734375,0.078125
code_n24_k12_cw3_036_q01,code_n24_k12_cw3_036,q01,validation,0.24,128,31,0.2421875,21,0.1640625,0.9453125,0.1640625
code_n24_k12_cw3_036_q02,code_n24_k12_cw3_036,q02,validation,0.3,128,41,0.3203125,32,0.25,1.5859375,0.3203125
code_n24_k12_cw3_036_q03,code_n24_k12_cw3_036,q03,validation,0.36,128,68,0.53125,46,0.359375,3.5625,0.515625
code_n24_k12_cw3_037_q00,code_n24_k12_cw3_037,q00,train,0.18,128,7,0.0546875,5,0.0390625,0.25,0.0390625
code_n24_k12_cw3_037_q01,code_n24_k12_cw3_037,q01,train,0.24,128,17,0.1328125,12,0.09375,0.6328125,0.09375
code_n24_k12_cw3_037_q02,code_n24_k12_cw3_037,q02,train,0.3,128,48,0.375,29,0.2265625,2.125,0.265625
code_n24_k12_cw3_037_q03,code_n24_k12_cw3_037,q03,train,0.36,128,63,0.4921875,38,0.296875,3.609375,0.3984375
code_n24_k12_cw3_038_q00,code_n24_k12_cw3_038,q00,validation,0.18,128,15,0.1171875,13,0.1015625,0.3515625,0.1015625
code_n24_k12_cw3_038_q01,code_n24_k12_cw3_038,q01,validation,0.24,128,37,0.2890625,25,0.1953125,1.28125,0.2109375
code_n24_k12_cw3_038_q02,code_n24_k12_cw3_038,q02,validation,0.3,128,58,0.453125,39,0.3046875,2.5078125,0.375
code_n24_k12_cw3_038_q03,code_n24_k12_cw3_038,q03,validation,0.36,128,77,0.6015625,49,0.3828125,4.28125,0.5078125
code_n24_k12_cw3_039_q00,code_n24_k12_cw3_039,q00,validation,0.18,128,15,0.1171875,5,0.0390625,0.46875,0.0390625
code_n24_k12_cw3_039_q01,code_n24_k12_cw3_039,q01,validation,0.24,128,28,0.21875,19,0.1484375,0.953125,0.15625
