row_id,graph_id,q_id,split,sample_index,sample_seed,failed_edge_indices,disconnected
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,10,3606467626,"[0, 2, 5, 8, 10, 13, 15, 20, 22, 23]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,11,3607467629,"[0, 1, 6, 8, 11, 16, 20, 21]",1
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,12,3608467632,"[1, 2, 7, 16, 23]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,13,3609467635,"[8, 11, 15, 16, 17, 21, 22]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,14,3610467638,"[0, 2, 3, 4, 5, 6, 8, 12, 13, 14, 17, 20, 22]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,15,3611467641,"[2, 3, 4, 5, 11, 13, 14, 15, 22]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,16,3612467644,"[0, 1, 6, 7, 10, 11, 12, 15, 17, 18, 21]",1
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,17,3613467647,"[1, 6, 18]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,18,3614467650,"[2, 6, 11, 12, 13, 22]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,19,3615467653,"[0, 2, 4, 7, 9, 11, 12, 15, 17, 23]",0
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,20,3616467656,"[0, 1, 2, 10, 12, 13, 14, 17, 20]",1
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,21,3617467659,"[0, 10, 12, 15, 16, 20, 23]",1
g_n12_m24_k2_001_q02,g_n12_m24_k2_001,q02,train,22,3618467662,"[3, 4, 6, 8, 9, 10, 12, 13, 15, 16, 20, 21, 22]",1
