key_name,split,group_index,match_key,state_count,tail_count,log_tau_min,log_tau_max,log_tau_spread,low_mean_collapse_fraction,high_mean_collapse_fraction,low_minus_high
strict,train,172,"('40', '80', '2', '0', '2', '8')",5,1,40.63388334335804,42.26950078894383,1.6356174455857868,0.15625,0.15625,0.0
strict,train,173,"('40', '80', '3', '0', '3', '6')",14,4,42.88866702460325,43.88354341307855,0.9948763884752978,0.0625,0.02734375,0.03515625
strict,train,174,"('40', '80', '3', '0', '3', '7')",4,1,42.74472789147276,43.33695630082474,0.592228409351975,0.015625,0.09375,-0.078125
strict,validation,4,"('24', '43', '2', '0', '2', '6')",4,1,21.49861504647442,22.083651843179407,0.585036796704987,0.09375,0.171875,-0.078125
strict,validation,13,"('24', '48', '2', '0', '2', '6')",4,1,23.493436081024086,24.268379084528334,0.7749430035042479,0.140625,0.125,0.015625
strict,validation,15,"('24', '48', '3', '0', '3', '5')",5,1,24.996919524435025,25.77239381378457,0.7754742893495461,0.03125,0.0,0.03125
strict,validation,20,"('24', '64', '2', '0', '2', '5')",5,1,30.925217006044186,32.01683623084565,1.0916192248014625,0.078125,0.0,0.078125
strict,validation,26,"('24', '68', '2', '0', '3', '5')",5,1,33.123280833721935,33.884025505296016,0.7607446715740807,0.03125,0.03125,0.0
strict,validation,42,"('32', '57', '2', '0', '2', '7')",5,1,28.364130909431438,29.654332336719044,1.290201427287606,0.171875,0.125,0.046875
strict,validation,47,"('32', '60', '2', '0', '2', '7')",5,1,30.084083439907225,31.549576465188714,1.4654930252814893,0.15625,0.140625,0.015625
strict,validation,58,"('32', '86', '2', '0', '2', '5')",4,1,43.107437591332854,44.00144675765327,0.8940091663204157,0.078125,0.015625,0.0625
strict,validation,65,"('32', '91', '3', '0', '3', '5')",4,1,45.68109532196909,46.603258713454366,0.9221633914852774,0.0625,0.0,0.0625
strict,validation,68,"('32', '96', '3', '0', '3', '5')",6,2,47.377824410454906,48.500978953673226,1.1231545432183196,0.0,0.015625,-0.015625
strict,validation,74,"('40', '108', '2', '0', '2', '6')",4,1,54.36996715715388,55.66690528318943,1.296938126035549,0.109375,0.09375,0.015625
strict,validation,89,"('40', '120', '3', '0', '3', '5')",5,1,59.808650404130695,61.224755706293564,1.416105302162869,0.0625,0.0,0.0625
strict,validation,103,"('40', '76', '2', '0', '2', '7')",4,1,38.24647640736071,40.56292549708095,2.316449089720237,0.328125,0.15625,0.171875
strict,validation,106,"('40', '80', '2', '0', '2', '7')",4,1,40.78251244029946,42.790637154440084,2.008124714140621,0.1875,0.09375,0.09375
strict,validation,107,"('40', '80', '3', '0', '3', '6')",5,1,42.74038875204428,43.79968601972108,1.059297267676797,0.0625,0.015625,0.046875
strict,test,5,"('24', '43', '2', '0', '2', '6')",7,2,21.17651975216031,22.395647394629393,1.2191276424690827,0.1484375,0.109375,0.0390625
strict,test,10,"('24', '45', '2', '0', '2', '6')",4,1,21.99472841259002,23.315189644178155,1.3204612315881334,0.328125,0.109375,0.21875
strict,test,16,"('24', '48', '3', '0', '3', '5')",5,1,25.025831081236614,25.678126657256932,0.6522955760203182,0.046875,0.03125,0.015625
strict,test,27,"('24', '68', '2', '0', '2', '5')",4,1,32.72730451677663,34.06010464671215,1.3328001299355208,0.03125,0.046875,-0.015625
strict,test,45,"('32', '57', '2', '0', '2', '7')",4,1,28.792079178756037,29.35932928570533,0.5672501069492917,0.25,0.25,0.0
strict,test,50,"('32', '60', '2', '0', '2', '6')",4,1,30.98053866114315,31.94001236628628,0.9594737051431288,0.09375,0.078125,0.015625
strict,test,53,"('32', '64', '2', '0', '2', '7')",4,1,31.593136754828492,33.467756465990476,1.8746197111619836,0.203125,0.125,0.078125
strict,test,55,"('32', '64', '3', '0', '3', '6')",5,1,33.94646400246035,34.678838108142486,0.7323741056821333,0.0625,0.0625,0.0
strict,test,56,"('32', '86', '2', '0', '2', '5')",5,1,42.394786694233666,44.31433970395305,1.9195530097193867,0.09375,0.03125,0.0625
strict,test,72,"('32', '96', '3', '0', '3', '5')",5,1,47.47132501673151,48.547041993175775,1.0757169764442622,0.0625,0.0,0.0625
strict,test,85,"('40', '114', '2', '0', '2', '6')",5,1,56.21060171497593,57.77348467961812,1.562882964642192,0.046875,0.015625,0.03125
strict,test,107,"('40', '76', '2', '0', '2', '8')",4,1,37.74585957728528,40.028135854578714,2.282276277293434,0.359375,0.21875,0.140625
strict,test,109,"('40', '80', '2', '0', '2', '7')",5,1,40.02994127534332,42.522695734594365,2.4927544592510458,0.234375,0.09375,0.140625
strict,all,0,"('24', '43', '1', '1', '1', '6')",15,5,19.754740607365477,21.92435110514967,2.1696104977841912,0.325,0.234375,0.09062500000000001
strict,all,7,"('24', '43', '2', '0', '2', '5')",7,2,20.322165198668493,22.52824813662106,2.2060829379525657,0.1484375,0.078125,0.0703125
strict,all,8,"('24', '43', '2', '0', '2', '6')",25,8,20.953097933189987,22.395647394629393,1.4425494614394054,0.154296875,0.111328125,0.04296875
strict,all,11,"('24', '45', '1', '1', '1', '6')",4,1,21.48219587460547,22.09288220683639,0.6106863322309195,0.28125,0.21875,0.0625
strict,all,19,"('24', '45', '2', '0', '2', '5')",14,4,22.795971632335327,23.767680324081475,0.9717086917461479,0.08984375,0.08203125,0.0078125
strict,all,20,"('24', '45', '2', '0', '2', '6')",20,6,21.825478920298515,23.77395684367687,1.9484779233783556,0.16145833333333334,0.0625,0.09895833333333334
strict,all,25,"('24', '48', '2', '0', '2', '5')",10,3,23.641568442263743,24.952312779125926,1.3107443368621823,0.16145833333333334,0.041666666666666664,0.11979166666666669
strict,all,26,"('24', '48', '2', '0', '2', '6')",15,5,23.453585991800402,24.76626224608327,1.3126762542828665,0.1625,0.09375,0.06875
strict,all,29,"('24', '48', '3', '0', '3', '5')",27,9,24.86999400319243,25.77239381378457,0.90239981059214,0.03125,0.026041666666666668,0.005208333333333332
strict,all,37,"('24', '64', '2', '0', '2', '5')",20,6,30.925217006044186,32.202957175185745,1.277740169141559,0.078125,0.0546875,0.0234375
strict,all,39,"('24', '64', '2', '0', '3', '5')",12,4,31.528371903448434,32.436733221075734,0.9083613176272998,0.0390625,0.02734375,0.01171875
strict,all,42,"('24', '64', '3', '0', '3', '4')",4,1,32.111309803608506,32.89182534560373,0.7805155419952214,0.015625,0.0,0.015625
strict,all,43,"('24', '64', '3', '0', '3', '5')",7,2,32.05947396044429,32.84683489776151,0.7873609373172172,0.0234375,0.0078125,0.015625
strict,all,50,"('24', '68', '2', '0', '2', '5')",17,5,32.37249165354174,34.06010464671215,1.6876129931704043,0.059375,0.034375,0.024999999999999994
